stock_code,company,report_type,pdf_path,pages,pdf_size_bytes,md_path,md_size_bytes,chars,lines,nonempty_lines,headings,image_refs,table_markers,first_nonempty_line,status
000016,深康佳Ａ,ESG报告,data/raw_pdfs/000016_深康佳Ａ_2025_ESG报告.pdf,46,18571555,data/mineru_outputs/hybrid_high_all/000016_深康佳Ａ_2025_ESG报告/hybrid_auto/000016_深康佳Ａ_2025_ESG报告.md,155520,84578,2633,1673,219,215,26,## 2025,ok
000158,常山北明,ESG报告,data/raw_pdfs/000158_常山北明_2025_ESG报告.pdf,32,25313896,data/mineru_outputs/hybrid_high_all/000158_常山北明_2025_ESG报告/hybrid_auto/000158_常山北明_2025_ESG报告.md,109485,58366,1999,1254,236,126,17,![](images/3f2f8a6abfcc4f1fa050c5f6817cc5d5c7504644572229dc8ad5150da9eead61.jpg),ok
000403,派林生物,ESG报告,data/raw_pdfs/000403_派林生物_2025_ESG报告.pdf,36,5151642,data/mineru_outputs/hybrid_high_all/000403_派林生物_2025_ESG报告/hybrid_auto/000403_派林生物_2025_ESG报告.md,123925,59883,2007,1127,195,170,19,![](images/97f9911a16bba96750e5c90324d07e6e3de74896b596350fd8fd780d5c54a534.jpg),ok
000503,国新健康,ESG报告,data/raw_pdfs/000503_国新健康_2025_ESG报告.pdf,35,31632276,data/mineru_outputs/hybrid_high_all/000503_国新健康_2025_ESG报告/hybrid_auto/000503_国新健康_2025_ESG报告.md,124980,59336,2235,1362,217,110,13,![](images/33b41f0920eea38bf67aa3a27e463eb0e72680fef64d0f2d30463bbedcc5fd2e.jpg),ok
000526,学大教育,ESG报告,data/raw_pdfs/000526_学大教育_2025_ESG报告.pdf,50,3013175,data/mineru_outputs/hybrid_high_all/000526_学大教育_2025_ESG报告/hybrid_auto/000526_学大教育_2025_ESG报告.md,173705,81056,2008,1129,258,128,32,## 2025年度,ok
000537,绿发电力,ESG报告,data/raw_pdfs/000537_绿发电力_2025_ESG报告.pdf,51,32524281,data/mineru_outputs/hybrid_high_all/000537_绿发电力_2025_ESG报告/hybrid_auto/000537_绿发电力_2025_ESG报告.md,174654,89786,2745,1561,238,262,23,# 2025 年度,ok
000547,航天发展,ESG报告,data/raw_pdfs/000547_航天发展_2025_ESG报告.pdf,47,13910874,data/mineru_outputs/hybrid_high_all/000547_航天发展_2025_ESG报告/hybrid_auto/000547_航天发展_2025_ESG报告.md,159030,81797,2936,1751,284,240,20,![](images/dde72da55d7056fe5df197715b90607775e075b5db31626a06917a32b31c6747.jpg),ok
000557,西部创业,可持续发展报告,data/raw_pdfs/000557_西部创业_2025_可持续发展报告.pdf,54,24219619,data/mineru_outputs/hybrid_high_all/000557_西部创业_2025_可持续发展报告/hybrid_auto/000557_西部创业_2025_可持续发展报告.md,206249,109852,3423,1862,296,261,44,## 创造流通价值 共赢美好未来,ok
000598,兴蓉环境,ESG报告,data/raw_pdfs/000598_兴蓉环境_2025_ESG报告.pdf,38,11103375,data/mineru_outputs/hybrid_high_all/000598_兴蓉环境_2025_ESG报告/hybrid_auto/000598_兴蓉环境_2025_ESG报告.md,158560,79540,2667,1560,282,213,14,# 2025 年度环境、社会及公司治理(ESG)报告,ok
000628,高新发展,ESG报告,data/raw_pdfs/000628_高新发展_2025_ESG报告.pdf,69,11548903,data/mineru_outputs/hybrid_high_all/000628_高新发展_2025_ESG报告/hybrid_auto/000628_高新发展_2025_ESG报告.md,201551,103341,3705,2286,299,212,29,![](images/954eadaf2bdf5bb1613ad7963c135d709fe22e4149fe6443b572375d0df8a0ac.jpg),ok
000720,新能泰山,ESG报告,data/raw_pdfs/000720_新能泰山_2025_ESG报告.pdf,36,12551305,data/mineru_outputs/hybrid_high_all/000720_新能泰山_2025_ESG报告/hybrid_auto/000720_新能泰山_2025_ESG报告.md,149630,67523,1866,1073,219,117,16,# 环境、社会及治理(ESG)报告,ok
000758,中色股份,ESG暨社会责任报告,data/raw_pdfs/000758_中色股份_2025_ESG暨社会责任报告.pdf,53,21852102,data/mineru_outputs/hybrid_high_all/000758_中色股份_2025_ESG暨社会责任报告/hybrid_auto/000758_中色股份_2025_ESG暨社会责任报告.md,193293,97296,3110,1826,367,188,29,地址：北京市朝阳区安定路 10号中国有色大厦南楼,ok
000777,中核科技,ESG暨社会责任报告,data/raw_pdfs/000777_中核科技_2025_ESG暨社会责任报告.pdf,58,25000141,data/mineru_outputs/hybrid_high_all/000777_中核科技_2025_ESG暨社会责任报告/hybrid_auto/000777_中核科技_2025_ESG暨社会责任报告.md,209562,113481,3510,2203,326,196,51,![](images/538bda3a0ef1aa63879c8dad326b71f26d41194615e5ad0add3c9d5e21b5b646.jpg),ok
000810,创维数字,ESG报告,data/raw_pdfs/000810_创维数字_2025_ESG报告.pdf,47,16714361,data/mineru_outputs/hybrid_high_all/000810_创维数字_2025_ESG报告/hybrid_auto/000810_创维数字_2025_ESG报告.md,172142,86953,3040,1991,268,143,15,![](images/a125615b50e8d21b5376c79d960f1419d2a392701e2205371bc92a1ecbb39e21.jpg),ok
000825,太钢不锈,可持续发展报告,data/raw_pdfs/000825_太钢不锈_2025_可持续发展报告.pdf,51,11821929,data/mineru_outputs/hybrid_high_all/000825_太钢不锈_2025_可持续发展报告/hybrid_auto/000825_太钢不锈_2025_可持续发展报告.md,206035,106866,3803,2203,339,236,38,# Sustainability (ESG) Report,ok
